symbol,pc1,pc2,pc3
Ac,-1.2468109906356827e+17,-2.3600187729974394e+17,-1.2907367421036184e+17
Ag,-1.2446983457990554e+17,-2.902072167406757e+16,-1.2607966936501104e+17
Al,-1.3044727663602776e+17,-7.549038491046421e+16,1.1393733795683672e+16
Am,-1.2331294389845958e+17,-2.314981957709012e+17,-1.6069054433217094e+17
Ar,2.2363343081514004e+16,1.5423164870429594e+18,9.16227515905289e+16
As,-1.2428325199293578e+17,-584756556502135.4,-1.2936785174804755e+17
At,-1.233762172823518e+17,-2.294433674930974e+17,-1.5913894868471693e+17
Au,-1.2410335344857197e+17,-1.3181567980198067e+17,-1.3851098097070098e+17
B,-1.2350290989154672e+17,-3481605659208723.5,-2.1421103081095446e+17
Ba,-1.4030468903907138e+17,-2.8738224923807392e+17,2.3293772885187747e+17
Be,-9.98772866043255e+16,1.7818982884003763e+17,-3.3378741956253325e+17
Bh,-1.2326037347413237e+17,-2.294583780365073e+17,-1.6183785998146464e+17
Bi,-1.2430491149958678e+17,-1.2086353940387115e+17,-1.334097743781135e+17
Bk,-1.23258821617993e+17,-2.2981494613413802e+17,-1.6188750287690378e+17
Br,-1.2629220373472056e+17,4.671591227054054e+17,-6.48517215337178e+16
C,-6.0870795393355e+16,8.430908972165778e+17,-7883491534945154.0
Ca,2.1913873674556682e+17,6.795219114366454e+17,2.0709841024575034e+17
Cd,-2.756144024000668e+16,-2.5912591686171296e+16,-1.2516809495522682e+17
Ce,-1.4356636638879842e+17,-2.981926909679277e+17,3.068656426821512e+17
Cf,-1.2325890918655648e+17,-2.2979482561179603e+17,-1.6188470161399376e+17
Cl,-1.4267882260912692e+16,8.247098229445098e+17,-1.004500112882975e+16
Cm,-1.2331313083930434e+17,-2.3149881057461075e+17,-1.6068621319927123e+17
Co,-1.232523628937773e+17,-2.312989593414033e+17,-1.6209411337562214e+17
Cr,-1.1127168653945414e+17,3.414863885480381e+17,2.3740598276187133e+17
Cs,-1.2970385837307739e+17,-2.3950143802358368e+17,-1.2154341840382642e+16
Cu,-1.2748458944493798e+17,4.942706880518647e+17,-3.6062640223969944e+16
Db,-1.2325946905376968e+17,-2.2966618560318906e+17,-1.6186679181628893e+17
Dy,-1.5091589087520672e+17,-3.222918655060978e+17,4.785497276126917e+17
Er,-1.4990783553154502e+17,-3.1748919378488557e+17,4.5533015057630195e+17
Es,-1.2325899934693046e+17,-2.2977410957234138e+17,-1.6188181744071133e+17
Eu,-1.4932026036849078e+17,-2.9517233774874554e+17,4.4255223580912326e+17
F,9.86331668693433e+17,-8.05407558783792e+16,-9.196470971252886e+16
Fe,-1.3872420603541186e+17,7.267672899984547e+17,2.34492395255831e+17
Fm,-1.2325913312620632e+17,-2.2974337127081376e+17,-1.6187753792636643e+17
Fr,-1.2791758742313134e+17,-2.46643161071648e+17,-5.403530897699477e+16
Ga,-8.072258141580197e+16,-4.194059064593404e+16,9.713319002874915e+16
Gd,-1.4466452588863286e+17,-3.002505826470039e+17,3.335453463564998e+17
Ge,-1.2882825677589675e+17,8.94745498157324e+17,1.0393170006764582e+16
H,-1.2469216348794611e+17,9.952227194709086e+16,-1.1603580388855187e+17
He,4.812502080241496e+18,-2.35644022398684e+17,5.213510780170337e+16
Hf,-1.3581552437990078e+17,-1.7955135183327763e+17,1.3238521411048706e+17
Hg,-2.3184633584309184e+16,4.568882512991785e+17,-5.81159010425919e+16
Ho,-1.3018847944653598e+17,-2.5411976497544954e+17,-1582535386824533.5
Hs,-1.2326024427122342e+17,-2.294880648317475e+17,-1.618419931007253e+17
I,-1.2556781188765808e+17,3.005872304488821e+17,-8.803287268742744e+16
In,-1.2900621009689507e+17,-2.3527499229857392e+17,-2.8220575707595668e+16
Ir,-1.2841868880622762e+17,-5.0981034733793144e+16,-3.5010227761321956e+16
K,5.10476823887298e+17,-2.576449243790128e+17,4.85202951288911e+16
Kr,-7025423583017936.0,1.4236506751592287e+18,6.5028889096539416e+16
La,-1.3395812894279854e+17,-2.2949032631330032e+17,8.704712866619816e+16
Li,-5.521233730921182e+16,-2.609596419498172e+17,-7.108107572899943e+16
Lr,-1.2330266265493946e+17,-2.3146438322090323e+17,-1.6092874498943507e+17
Lu,-1.3270685719383178e+17,-2.623931203582966e+17,5.694035524773972e+16
Md,-1.232592235682428e+17,-2.2972259051414554e+17,-1.6187464474288416e+17
Mg,-5.951146413922027e+16,2.3602632540996957e+17,-1.2009316498701696e+17
Mn,-1.3194827315492707e+17,5.338958193280882e+17,6.9380472906076584e+16
Mo,-1.3681757867737632e+17,-3.225548272792628e+16,1.613342560675268e+17
N,6.053956957567444e+16,8.436368336331692e+17,-1233949031533697.5
Na,1.7251390240088545e+18,-2.6648308999728938e+17,1.9433505422697756e+16
Nb,-1.232523628937773e+17,-2.312989593414033e+17,-1.6209411337562214e+17
Nd,-1.4152165264831587e+17,-2.9143167881159725e+17,2.6020983492541155e+17
Ne,1.7313591748052823e+18,-2.3379743324211046e+17,-8.5964711839283e+16
Ni,-1.2838799297374891e+17,7.78062948118672e+16,-3.080611256676405e+16
No,-1.2325926801404341e+17,-2.2971237825658298e+17,-1.6187322294985843e+17
Np,-1.2325889223255078e+17,-2.297987211130675e+17,-1.6188524396190314e+17
O,1.1471548429870372e+18,6.57710053827366e+17,1.910435884318408e+16
Os,-1.3024950953313976e+17,-8.564256728959498e+16,6299711010554490.0
P,-1.2617399088107072e+17,4.286259426750209e+17,-6.907410601819689e+16
Pa,-1.2331208639471978e+17,-2.3149537564627117e+17,-1.6071041137977456e+17
Pb,-1.2480980516273253e+17,-2.909333554689432e+16,-1.1817205764549941e+17
Pd,-1.232523628937773e+17,-2.312989593414033e+17,-1.6209411337562214e+17
Pm,-1.3002391887042422e+17,-2.535697845537874e+17,-5223901437749295.0
Po,-1.236288341229312e+17,-1.8749831026334243e+17,-1.5167847519964835e+17
Pr,-1.3167389579732635e+17,-2.5903397050603395e+17,3.226299640586315e+16
Pt,-1.2638068370403984e+17,4.355733576017038e+16,-7.885441500747763e+16
Pu,-1.2331347072260475e+17,-2.3149992836946413e+17,-1.606783386240392e+17
Ra,-1.2682873274458478e+17,-2.4306323219264893e+17,-7.928302971246386e+16
Rb,-9.736939104527306e+16,-2.6228513409302394e+17,5.755645173980818e+16
Re,-1.305558927010426e+17,-3.1684565721225684e+16,1.5491005066577516e+16
Rf,-1.2331344431853069e+17,-2.314998415327819e+17,-1.6067895036597427e+17
Rh,-1.2766272835401166e+17,-2.0081743213536176e+17,-5.8296185959860104e+16
Rn,-1.2436442558218618e+17,2.4218331969221096e+16,-1.2651993200689467e+17
Ru,-1.3438817862760595e+17,-1.937890134715608e+17,9.854322770099989e+16
S,-1.2759066749307344e+17,7.588485272746892e+17,-2.3570827642052804e+16
Sb,-1.2469613054850853e+17,4.035129686659929e+16,-1.1819903900940525e+17
Sc,-1.3753322562333909e+17,6.185489075065909e+16,1.814955097597223e+17
Se,-1.2491779003402005e+17,1.3050162341577752e+17,-1.09612223801266e+17
Sg,-1.2326050267704125e+17,-2.2942869124126704e+17,-1.6183372686220406e+17
Si,-1.2832687934852965e+17,7.677688280369023e+17,-6087687243212563.0
Sm,-1.3714442308209499e+17,-2.7701637555067725e+17,1.591809755677337e+17
Sn,-1.2603636152009198e+17,1.111048076228721e+17,-8.429913116070747e+16
Sr,-1.3689012499494197e+17,-3.652225989151297e+16,1.62895931571578e+17
Ta,-1.3418388189488344e+17,-2.283421038047138e+17,9.252175347051989e+16
Tb,-1.3861434952902573e+17,-2.8185292348016963e+17,1.9318959317377264e+17
Tc,-1.3371119651500933e+17,-1.9039281966296682e+17,8.291666880007827e+16
Te,-1.2436438016274378e+17,-9417434311136318.0,-1.2779920186545446e+17
Th,-1.5366067081689104e+17,-3.297911794565541e+17,5.421196355283557e+17
Ti,-1.4512008240787027e+17,-1.78531374478438e+17,3.4902840851232774e+17
Tl,-1.2613678971149742e+17,-2.1241471159595587e+17,-9.41961927146066e+16
Tm,-1.4749198491437853e+17,-1.2767212082214662e+17,4.063599723180779e+17
U,-1.2325881766438386e+17,-2.298158545500724e+17,-1.618876293503532e+17
V,-1.4561809054254582e+17,-2.577505363625974e+17,3.5757326552895194e+17
W,-1.3649340409947442e+17,1.3772327867030835e+17,1.60188494080839e+17
Xe,1.804119978986155e+17,8.913351633273367e+17,7860394990682562.0
Y,-1.3096255064134214e+17,-2.5364071695088346e+17,1.6496954545228138e+16
Yb,-1.3118750434205088e+17,-8.651211459524354e+16,2.8202316233287172e+16
Zn,4.2522359313320576e+17,3.642947354559532e+17,-5.048313540118277e+16
Zr,-1.3177888092714128e+17,-2.5471465200436896e+17,3.533619793657643e+16
